claim_uid,file_num,data_set,cont_num,proc_unit,plan_num,claim_type,line_code,coverage_code,pay_cat,claim_open,date_event,date_open,date_close,date_v1m_xmit,clmnt_ssn,clmnt_dob,clmnt_gender,clmnt_country,clmnt_state,pay_code,pay_type,paid_1,paid_3,amount,state_juris,our_cause_2,our_cause_3,our_cause_4,date_rpted_cms,days_to_cms,reserve_3,reserve_6,reserve_status,is_v1m_extracted,excl_reason
1000000.639,18WC877572,WC,5013,29,1571,IO,WC,WA,CL,True,12/23/2018,01/11/2019,,04/02/2020,617049196,12/18/1950,F,USA,PA,100,HIS,40290.96,69813.94,3468.48,36,STRAIN,SPRAIN,KNEE,03/05/2019,53.0,0.0,0.0,,0,coverage_code|claim_type_IO
1000001.38,20WC988662,WC,5334,6,3988,MO,WC,,MP,True,11/19/2018,12/07/2018,,,000000000,05/03/1937,M,USA,MO,181,SYS,8132.7,35527.07,6734.73,53,LIFT,CONCUSS,SHOULDER,05/22/2019,166.0,38082.73,4511.33,A,1,
1000002.229,18WC944151,WC,7573,35,1271,MO,WC,LT,PD,True,05/20/2020,06/10/2020,,,147342288,09/09/1947,F,USA,MT,317,SYS,24675.79,75578.22,8624.92,36,MVA,INFLAM,NECK,07/26/2020,46.0,10576.84,1113.98,A,0,coverage_code
1000003.68,18WC814825,WC,5372,100,3625,MO,WC,,MP,True,10/10/2019,10/25/2019,,,513982928,11/10/1933,M,USA,WI,199,SYS,45924.67,59894.46,4937.2,48,CAUGHT,SURGERY,HAND,12/08/2019,44.0,7902.87,1168.03,A,1,
1000004.128,21WC676510,WC,5343,69,4573,OT,WC,,OT,True,04/03/2020,04/26/2020,,,449677398,02/11/1937,M,USA,IA,300,SYS,35392.05,5887.38,767.26,04,CAUGHT,STRAIN,HIP,07/25/2020,90.0,0.0,0.0,,1,
1000005.539,23WC698782,GL,8745,32,4213,OT,WC,,BI,True,02/02/2019,02/24/2019,,,747071613,06/26/1953,M,USA,IL,168,SYS,13927.26,24980.64,9240.33,,,,,,,0.0,0.0,,1,
1000006.861,22WC202664,WC,9857,2,4969,MO,GR,,PI,True,07/23/2022,08/08/2022,,,921581035,08/10/1955,F,USA,WA,390,MAN,33093.57,48667.14,1979.99,12,FALL,CONCUSS,HIP,09/22/2022,45.0,63180.77,6336.09,A,0,line_code
1000007.057,22WC184002,WC,2122,78,1278,OT,WC,,BI,True,10/05/2020,10/24/2020,,,598738566,04/22/1938,F,USA,MT,182,SYS,22861.23,92901.83,9363.77,04,REPETIT,CONCUSS,NECK,12/18/2020,55.0,0.0,0.0,,1,
1000008.265,20WC172132,WC,7055,37,1646,MO,WC,LT,PD,False,12/07/2023,12/08/2023,07/27/2025,,138341892,03/09/1994,F,USA,VA,387,MAN,42645.64,50540.91,2586.1,51,FALL,STRAIN,ANKLE,03/17/2024,100.0,0.0,0.0,,0,coverage_code
1000009.044,20WC908577,WC,5292,21,4036,MO,WC,LT,MP,True,02/09/2018,02/13/2018,,,999999999,05/12/1931,M,USA,IN,385,SYS,17683.93,55988.35,8759.66,26,MVA,LACERA,SHOULDER,04/29/2018,75.0,12212.65,1510.17,A,0,coverage_code
1000010.782,21WC941204,AU,5066,35,1652,OT,WC,,CM,True,06/08/2018,07/06/2018,,09/03/2023,841303653,07/11/1936,F,USA,WY,344,SYS,33975.91,84366.12,3378.38,,,,,,,0.0,0.0,,1,
1000011.877,20WC287241,GL,5350,5,1444,OT,WC,,CL,False,07/08/2021,07/22/2021,01/26/2023,08/15/2022,726560028,09/22/1955,M,USA,CA,342,MAN,42400.76,71975.43,3073.19,,,,,,,0.0,0.0,,1,
1000012.408,21WC831076,WC,3086,25,2722,OT,WC,WA,CL,True,12/14/2019,01/03/2020,,,312373444,10/21/1948,F,USA,NH,365,SYS,39686.77,95983.2,7386.02,06,LIFT,SURGERY,HIP,04/27/2020,115.0,0.0,0.0,,0,coverage_code
1000013.093,24WC346277,AU,6086,29,4303,MO,WC,,BI,False,09/29/2020,10/15/2020,01/27/2021,,973347291,11/23/1934,M,USA,WY,399,SYS,40205.49,69591.18,4699.04,,,,,,,0.0,0.0,,1,
1000014.917,18WC578634,WC,8613,87,3175,OT,WC,,CM,False,12/18/2022,01/07/2023,07/06/2024,,957308777,11/09/1937,F,USA,LA,336,SYS,13585.76,31970.96,5447.51,36,MVA,LACERA,ANKLE,03/17/2023,69.0,0.0,0.0,,1,
1000015.408,22WC588557,WC,2020,27,4411,MO,WC,LT,OT,False,03/22/2018,04/19/2018,12/29/2019,,361396390,09/24/1985,M,USA,LA,303,SYS,16806.48,67914.19,4102.74,36,REPETIT,CONTUS,NECK,10/02/2018,166.0,0.0,0.0,,0,coverage_code
1000016.027,21WC720644,GL,1444,11,3632,MO,WC,,PI,True,07/25/2018,08/03/2018,,,780494559,05/27/1985,M,USA,WV,306,SYS,11211.11,6861.84,9577.13,,,,,,,0.0,0.0,,1,
1000017.031,19WC309044,WC,3497,31,1517,OT,ZE,,OT,False,06/11/2020,06/26/2020,08/07/2021,11/21/2023,123456789,05/19/1930,F,USA,VA,175,MAN,41528.58,24284.94,7002.21,17,CUT,STRAIN,NECK,08/05/2020,40.0,0.0,0.0,,0,line_code
